% Model,LargeGraphiteBlock_v5_PorousMedia_rad_longblock.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 12:45"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1"
20,0,2172.9999999999973,2673.0000000000014,2672.9891358592013,2172.9999999999955,2673.0000000000005,2173.0000000000014,2673.000000000001
20,720,2172.9999999999973,2672.9999999335414,2667.967094008069,2172.9999999999955,2672.9999999340553,2173.0000000000014,2672.9999999345723
20,1440,2172.9999999999973,2672.9999991603822,2662.933306796074,2172.9999999999955,2672.999999164518,2173.0000000000014,2672.999999168626
20,2160,2172.9999999999973,2672.999996252995,2657.908819172791,2172.9999999999955,2672.9999962685674,2173.0000000000014,2672.999996284029
20,2880,2172.9999999999973,2672.9999906220123,2652.8601798470568,2172.9999999999955,2672.9999906523667,2173.0000000000014,2672.999990682447
20,3600,2172.9999999999973,2672.999978231738,2647.8093349111296,2172.9999999999955,2672.9999782984046,2173.0000000000014,2672.9999783644084
20,4320,2172.9999999999973,2672.9999496868436,2642.790157945266,2172.9999999999955,2672.9999498400534,2173.0000000000014,2672.999949991854
20,5040,2172.9999999999973,2672.9999032443357,2637.7729879566045,2172.9999999999955,2672.999903494143,2173.0000000000014,2672.9999037414123
20,5760,2172.9999999999973,2672.9998178222663,2632.7561830154964,2172.9999999999955,2672.9998182817576,2173.0000000000014,2672.9998187365445
20,6480,2172.9999999999973,2672.9996896408675,2627.731050963854,2172.9999999999955,2672.9996903379943,2173.0000000000014,2672.9996910275822
20,7200,2172.9999999999973,2672.9994672852713,2622.7247570002255,2172.9999999999955,2672.9994684867706,2173.0000000000014,2672.999469675811
20,7920,2172.9999999999973,2672.9991440717226,2617.7242173739833,2172.9999999999955,2672.9991458260242,2173.0000000000014,2672.999147563759
20,8640,2172.9999999999973,2672.998601675868,2612.725477969447,2172.9999999999955,2672.9986046003633,2173.0000000000014,2672.9986074976873
20,9360,2172.9999999999973,2672.997850138927,2607.719769794708,2172.9999999999955,2672.997854343273,2173.0000000000014,2672.9978585148733
20,10080,2172.9999999999973,2672.996923823415,2602.6831116890567,2172.9999999999955,2672.996928920542,2173.0000000000014,2672.996933991226
20,10800,2172.9999999999973,2672.9955600455396,2597.6665702862833,2172.9999999999955,2672.9955673975537,2173.0000000000014,2672.995574680236
20,11520,2172.9999999999973,2672.993750889828,2592.659245738053,2172.9999999999955,2672.9937606372505,2173.0000000000014,2672.9937702979264
20,12240,2172.9999999999973,2672.9910043104596,2587.6728635397603,2172.9999999999955,2672.991019057157,2173.0000000000014,2672.9910336911894
20,12960,2172.9999999999973,2672.9873870560555,2582.696901247927,2172.9999999999955,2672.9874069276175,2173.0000000000014,2672.987426640499
20,13680,2172.9999999999973,2672.983087317073,2577.693053773369,2172.9999999999955,2672.9831105289572,2173.0000000000014,2672.9831336721795
20,14400,2172.9999999999973,2672.9779757961833,2572.6642627113424,2172.9999999999955,2672.9780031724363,2173.0000000000014,2672.9780304057394
20,15120,2172.9999999999973,2672.9713797757418,2567.642640844702,2172.9999999999955,2672.9714150424184,2173.0000000000014,2672.971449892799
20,15840,2172.9999999999973,2672.9634701692466,2562.6223300230513,2172.9999999999955,2672.963513176032,2173.0000000000014,2672.9635558177747
20,16560,2172.9999999999973,2672.9517052725546,2557.651810478259,2172.9999999999955,2672.951768850314,2173.0000000000014,2672.951831991202
20,17280,2172.9999999999973,2672.9360491703615,2552.712347646402,2172.9999999999955,2672.9361331322175,2173.0000000000014,2672.9362164629265
20,18000,2172.9999999999973,2672.9182022052764,2547.753456893093,2172.9999999999955,2672.9182981326558,2173.0000000000014,2672.918394054063
20,18720,2172.9999999999973,2672.898267121471,2542.7654282824074,2172.9999999999955,2672.898374520148,2173.0000000000014,2672.898482470964
20,19440,2172.9999999999973,2672.8762077506035,2537.7530573359463,2172.9999999999955,2672.8763308986086,2173.0000000000014,2672.8764538176983
20,20160,2172.9999999999973,2672.8507046956215,2532.7208311219797,2172.9999999999955,2672.850851606492,2173.0000000000014,2672.850996711759
20,20880,2172.9999999999973,2672.820485574414,2527.688771547544,2172.9999999999955,2672.8206626750907,2173.0000000000014,2672.8208376617504
20,21600,2172.9999999999973,2672.783725458778,2522.6698118762315,2172.9999999999955,2672.783941922901,2173.0000000000014,2672.784156441149
20,22320,2172.9999999999973,2672.738770246107,2517.67428667979,2172.9999999999955,2672.739036756371,2173.0000000000014,2672.7393013088376
20,23040,2172.9999999999973,2672.6838783472754,2512.7068432985566,2172.9999999999955,2672.6842037647175,2173.0000000000014,2672.684526583765
20,23760,2172.9999999999973,2672.616976043731,2507.7663514083233,2172.9999999999955,2672.617371675421,2173.0000000000014,2672.617763670535
20,24480,2172.9999999999973,2672.5359033738314,2502.8481825468343,2172.9999999999955,2672.5363816218305,2173.0000000000014,2672.5368553776834
20,25200,2172.9999999999973,2672.4377767129495,2497.93325516048,2172.9999999999955,2672.4383536209766,2173.0000000000014,2672.4389249719175
20,25920,2172.9999999999973,2672.318385107387,2492.9968956067273,2172.9999999999955,2672.3190858681114,2173.0000000000014,2672.319779476309
20,26640,2172.9999999999973,2672.1690371244517,2488.0168222875604,2172.9999999999955,2672.169922291364,2173.0000000000014,2672.1707973193575
20,27360,2172.9999999999973,2671.9787423447992,2482.977792156288,2172.9999999999955,2671.9798767680572,2173.0000000000014,2671.9809995629207
20,28080,2172.9999999999973,2671.7439200403223,2477.922707897301,2172.9999999999955,2671.7453032513927,2173.0000000000014,2671.746676474024
20,28800,2172.9999999999973,2671.461418348609,2472.9102536140444,2172.9999999999955,2671.4630644568024,2173.0000000000014,2671.4646980607913
20,29520,2172.9999999999973,2671.1279344389695,2467.93424928366,2172.9999999999955,2671.129861207074,2173.0000000000014,2671.1317745729016
20,30240,2172.9999999999973,2670.7388574739143,2462.9701864312337,2172.9999999999955,2670.7410921396695,2173.0000000000014,2670.743312837634
20,30960,2172.9999999999973,2670.2904991348996,2458.000301116156,2172.9999999999955,2670.2930675794405,2173.0000000000014,2670.295619746494
20,31680,2172.9999999999973,2669.780311823992,2453.022355647824,2172.9999999999955,2669.7832281114765,2173.0000000000014,2669.7861248468494
20,32400,2172.9999999999973,2669.2039199207866,2448.0346950875637,2172.9999999999955,2669.2072000792214,2173.0000000000014,2669.2104564955252
20,33120,2172.9999999999973,2668.5562137868606,2443.0341070597947,2172.9999999999955,2668.5598885644067,2173.0000000000014,2668.563534677719
20,33840,2172.9999999999973,2667.833106071471,2438.022535700724,2172.9999999999955,2667.837205999681,2173.0000000000014,2667.8412726072593
20,34560,2172.9999999999973,2667.0289029096866,2433.0039903854235,2172.9999999999955,2667.033458791512,2173.0000000000014,2667.037976618522
20,35280,2172.9999999999973,2666.1342658659164,2427.98557014074,2172.9999999999955,2666.139330968393,2173.0000000000014,2666.1443510127006
20,36000,2172.9999999999973,2665.1381066211,2422.9789955156953,2172.9999999999955,2665.1437517737722,2173.0000000000014,2665.1493437228373
20,36720,2172.9999999999973,2664.0293602859656,2417.9947815256837,2172.9999999999955,2664.035647081925,2173.0000000000014,2664.041874203366
20,37440,2172.9999999999973,2662.79468944331,2413.043651912869,2172.9999999999955,2662.801685651463,2173.0000000000014,2662.8086161411165
20,38160,2172.9999999999973,2661.421367480821,2408.131357098309,2172.9999999999955,2661.4291480881593,2173.0000000000014,2661.4368563040707
20,38880,2172.9999999999973,2659.8952241430893,2403.2582486108427,2172.9999999999955,2659.9038631909407,2173.0000000000014,2659.912421241521
20,39600,2172.9999999999973,2658.1868772083826,2398.403114495107,2172.9999999999955,2658.1965744878926,2173.0000000000014,2658.2061825017686
20,40320,2172.9999999999973,2656.261086435977,2393.541580260511,2172.9999999999955,2656.272021783898,2173.0000000000014,2656.282863490015
20,41040,2172.9999999999973,2654.117159559233,2388.683923819855,2172.9999999999955,2654.1292501530224,2173.0000000000014,2654.1412541033214
20,41760,2172.9999999999973,2651.7531587425988,2383.834742645591,2172.9999999999955,2651.766413979571,2173.0000000000014,2651.7795965670753
20,42480,2172.9999999999973,2649.16830185549,2379.000216450886,2172.9999999999955,2649.1827434969728,2173.0000000000014,2649.197117523057
20,43200,2172.9999999999973,2646.366723770887,2374.18994803669,2172.9999999999955,2646.382318215211,2173.0000000000014,2646.397839527023
20,43920,2172.9999999999973,2643.3558598698833,2369.4134227727495,2172.9999999999955,2643.372532672675,2173.0000000000014,2643.389130999806
20,44640,2172.9999999999973,2640.1413457833564,2364.67778962049,2172.9999999999955,2640.159070238735,2173.0000000000014,2640.1767151676904
20,45360,2172.9999999999973,2636.727544225786,2359.9883742834963,2172.9999999999955,2636.746332509536,2173.0000000000014,2636.7650241032297
20,46080,2172.9999999999973,2633.1204543711196,2355.3488652263,2172.9999999999955,2633.1402857655708,2173.0000000000014,2633.1600142419957
20,46800,2172.9999999999973,2629.325915047285,2350.7608806599696,2172.9999999999955,2629.3467374429883,2173.0000000000014,2629.3674730861776
20,47520,2172.9999999999973,2625.3452395661297,2346.2211133813335,2172.9999999999955,2625.367042914306,2173.0000000000014,2625.3887631823522
20,48240,2172.9999999999973,2621.175409259739,2341.7158005085053,2172.9999999999955,2621.198249826556,2173.0000000000014,2621.2209815162296
20,48960,2172.9999999999973,2616.807410069493,2337.2377926206195,2172.9999999999955,2616.831356631244,2173.0000000000014,2616.8551730935374
20,49680,2172.9999999999973,2612.2551624871003,2332.7900809495136,2172.9999999999955,2612.2798299339456,2173.0000000000014,2612.3043768398584
20,50400,2172.9999999999973,2607.6204913328397,2328.3429190458824,2172.9999999999955,2607.6455819228295,2173.0000000000014,2607.670529620226
20,51120,2172.9999999999973,2602.8912902248044,2323.8998679590136,2172.9999999999955,2602.9168519112777,2173.0000000000014,2602.9422195310535
20,51840,2172.9999999999973,2598.068651617485,2319.464052373671,2172.9999999999955,2598.0947343866346,2173.0000000000014,2598.12058425422
20,52560,2172.9999999999973,2593.1595780002003,2315.0405398168627,2172.9999999999955,2593.186274355766,2173.0000000000014,2593.2127109622334
20,53280,2172.9999999999973,2588.1122764193647,2310.6520236626966,2172.9999999999955,2588.1398444533074,2173.0000000000014,2588.1671329377027
20,54000,2172.9999999999973,2582.896845851151,2306.322628560231,2172.9999999999955,2582.925485329806,2173.0000000000014,2582.95383742296
20,54720,2172.9999999999973,2577.480930629192,2302.0691689595083,2172.9999999999955,2577.5107457458994,2173.0000000000014,2577.5402624043477
20,55440,2172.9999999999973,2571.8194642599915,2297.912738019448,2172.9999999999955,2571.850708255035,2173.0000000000014,2571.8816255983124
20,56160,2172.9999999999973,2565.8814752199105,2293.8695350371368,2172.9999999999955,2565.9143139181824,2173.0000000000014,2565.9468078623777
20,56880,2172.9999999999973,2559.6484664804234,2289.9436648782253,2172.9999999999955,2559.6829155957844,2173.0000000000014,2559.7170217064086
20,57600,2172.9999999999973,2553.0984003320186,2286.138331392727,2172.9999999999955,2553.134531495047,2173.0000000000014,2553.1703201953046
20,58320,2172.9999999999973,2546.232895574823,2282.4436599658457,2172.9999999999955,2546.2706820141543,2173.0000000000014,2546.3081237138704
20,59040,2172.9999999999973,2539.051874409286,2278.846984150317,2172.9999999999955,2539.091313959396,2173.0000000000014,2539.130431865611
20,59760,2172.9999999999973,2531.5838584252706,2275.3322634929577,2172.9999999999955,2531.6246839397922,2173.0000000000014,2531.6652672112073
20,60480,2172.9999999999973,2523.8764228834284,2271.874552999985,2172.9999999999955,2523.918240201765,2173.0000000000014,2523.959889530527
20,61200,2172.9999999999973,2516.1060891081106,2268.44751907041,2172.9999999999955,2516.1477285945416,2173.0000000000014,2516.1892045117747
20,61920,2172.9999999999973,2508.5282065158053,2265.0475038411864,2172.9999999999955,2508.5683605768772,2173.0000000000014,2508.6083386715563
20,62640,2172.9999999999973,2501.1432261831496,2261.714955356847,2172.9999999999955,2501.182413465351,2173.0000000000014,2501.221406135802
20,63360,2172.9999999999973,2493.9423035474006,2258.4563923229794,2172.9999999999955,2493.980464200722,2173.0000000000014,2494.0183640552405
20,64080,2172.9999999999973,2486.9158669021717,2255.276195428773,2172.9999999999955,2486.9532058884392,2173.0000000000014,2486.9901570580396
20,64800,2172.9999999999973,2479.8375347423325,2252.183333957669,2172.9999999999955,2479.8758660039607,2173.0000000000014,2479.913745532323
20,65520,2172.9999999999973,2472.371738457542,2249.172659100833,2172.9999999999955,2472.4129492836123,2173.0000000000014,2472.4537716769114
20,66240,2172.9999999999973,2464.5078554091324,2246.2238496117848,2172.9999999999955,2464.5510084987222,2173.0000000000014,2464.5938772513327
20,66960,2172.9999999999973,2456.5038279877313,2243.337650413137,2172.9999999999955,2456.5469403313755,2173.0000000000014,2456.5898843854707
20,67680,2172.9999999999973,2448.7931594970246,2240.518808955469,2172.9999999999955,2448.8332577884353,2173.0000000000014,2448.8731475141285
20,68400,2172.9999999999973,2441.2866045067517,2237.7856559066327,2172.9999999999955,2441.3256710814767,2173.0000000000014,2441.364491946537
20,69120,2172.9999999999973,2433.7936119010137,2235.162970943022,2172.9999999999955,2433.8338432712785,2173.0000000000014,2433.873917307314
20,69840,2172.9999999999973,2426.282712082796,2232.6232560332205,2172.9999999999955,2426.3230049740805,2173.0000000000014,2426.3631392902594
20,70560,2172.9999999999973,2418.7388129996134,2230.1305726154465,2172.9999999999955,2418.7793212299953,2173.0000000000014,2418.8195963685057
20,71280,2172.9999999999973,2411.2002637188793,2227.697955958438,2172.9999999999955,2411.2406763990066,2173.0000000000014,2411.2808502143207
20,72000,2172.9999999999973,2403.742254338342,2225.344384022432,2172.9999999999955,2403.782051738724,2173.0000000000014,2403.8216191982406
