% Model,tin_tegs_model.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 13:51"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
0,1065.1442921853147,1048.6179644864526
1,1068.0749498844343,1048.6144727647759
2,1074.9795079946646,1048.617516343896
3,1080.554126592646,1048.6164661924358
4,1085.692400543836,1048.6135422486745
5,1089.9665856016109,1048.6066830229151
6,1093.3598869582154,1048.59504122743
7,1096.2218294914114,1048.5805145328159
8,1099.083772024607,1048.5659878382023
9,1101.6763958507083,1048.5534899125144
10,1103.6841326184135,1048.5453979217198
11,1105.6918693861182,1048.537305930925
12,1107.693613331156,1048.529227186827
13,1108.8230051702603,1048.5230767131868
14,1109.9523970093644,1048.516926239547
15,1111.0817888484676,1048.5107757659068
16,1112.2111806875716,1048.5046252922673
17,1113.3405725266757,1048.4984748186275
18,1114.469964365779,1048.492324344988
19,1115.3528993048972,1048.4850217926437
20,1115.8501843060424,1048.4759164947468
21,1116.3474693071873,1048.4668111968485
22,1116.8447543083323,1048.4577058989514
23,1117.3420393094768,1048.448600601055
24,1117.839324310622,1048.4394953031583
25,1118.3366093117677,1048.4303900052596
26,1118.5226763731007,1048.4237574878555
27,1118.6173363737673,1048.417851244768
28,1118.7119963744337,1048.4119450016813
29,1118.8066563751,1048.4060387585923
30,1118.9013163757659,1048.400132515504
31,1118.9959763764332,1048.394226272417
32,1119.0906363770991,1048.3883200293292
33,1119.1852963777662,1048.3824137862416
34,1119.2799563784322,1048.3765075431531
35,1119.3746163790977,1048.3706013000658
36,1119.4692763797643,1048.364695056979
37,1119.5639363804312,1048.3587888138904
38,1119.6585963810974,1048.3528825708024
39,1119.6655948766947,1048.3467540434904
40,1119.5976542534959,1048.3404354922457
41,1119.5297136302972,1048.334116941001
42,1119.4617730070984,1048.3277983897567
43,1119.3938323838995,1048.3214798385125
44,1119.3258917607004,1048.3151612872673
45,1119.2579511375022,1048.3088427360233
46,1119.1900105143031,1048.3025241847781
47,1119.1220698911045,1048.2962056335332
48,1119.0541292679056,1048.2898870822883
49,1118.986188644707,1048.2835685310438
50,1118.9182480215081,1048.2772499797998
51,1118.850307398309,1048.270931428554
52,1118.7588149967564,1048.2649232167748
53,1118.6137239628397,1048.2596212688957
54,1118.4686329289218,1048.254319321017
55,1118.323541895005,1048.2490173731376
56,1118.1784508610879,1048.2437154252598
57,1118.0333598271704,1048.2384134773804
58,1117.8882687932535,1048.2331115295021
59,1117.7431777593363,1048.227809581623
60,1117.5980867254195,1048.222507633744
61,1117.4529956915017,1048.2172056858658
62,1117.3079046575842,1048.2119037379862
63,1117.1628136236677,1048.2066017901077
64,1117.0177225897498,1048.2012998422288
65,1116.8726315558326,1048.19599789435
66,1116.7275405219154,1048.1906959464716
67,1116.5824494879987,1048.1853939985926
68,1116.4373584540813,1048.1800920507137
69,1116.292267420164,1048.1747901028345
70,1116.1471763862467,1048.1694881549556
71,1116.0020853523295,1048.1641862070776
72,1115.856994318412,1048.1588842591984
73,1115.7119032844953,1048.153582311319
74,1115.5668122505776,1048.148280363441
75,1115.4217212166611,1048.142978415562
76,1115.2766301827437,1048.1376764676834
77,1115.1315391488265,1048.132374519805
78,1114.986448114909,1048.1270725719253
79,1114.8378273085846,1048.1207587302486
80,1114.6885219715778,1048.1142486514582
81,1114.5392166345714,1048.1077385726676
82,1114.3899112975655,1048.1012284938763
83,1114.2406059605582,1048.0947184150857
84,1114.091300623552,1048.0882083362947
85,1113.941995286545,1048.0816982575038
86,1113.7926899495394,1048.0751881787132
87,1113.6433846125324,1048.0686780999224
88,1113.494079275525,1048.0621680211314
89,1113.3447739385192,1048.0556579423403
90,1113.1954686015126,1048.04914786355
91,1113.0461632645065,1048.042637784759
92,1112.8968579275002,1048.0361277059687
93,1112.7475525904924,1048.029617627178
94,1112.5982472534868,1048.0231075483864
95,1112.4489419164797,1048.0165974695958
96,1112.299636579474,1048.0100873908057
97,1112.150331242467,1048.0035773120142
98,1112.001025905461,1047.997067233224
99,1111.8517205684545,1047.9905571544325
100,1111.7024152314475,1047.9840470756415
101,1111.5531098944411,1047.977536996851
102,1111.403804557435,1047.9710269180594
103,1111.2544992204282,1047.9645168392688
104,1111.1051938834216,1047.9580067604786
105,1110.9656413044033,1047.951716052192
106,1110.8427041526227,1047.9457990776414
107,1110.7197670008425,1047.939882103089
108,1110.5968298490627,1047.9339651285372
109,1110.4738926972823,1047.9280481539854
110,1110.3509555455016,1047.922131179433
111,1110.2280183937216,1047.916214204882
112,1110.1050812419414,1047.9102972303306
113,1109.9821440901612,1047.9043802557783
114,1109.8592069383808,1047.8984632812271
115,1109.7362697866004,1047.8925463066748
116,1109.613332634819,1047.886629332123
117,1109.490395483039,1047.880712357572
118,1109.3674583312595,1047.87479538302
119,1109.244521179479,1047.8688784084677
120,1109.1215840276984,1047.8629614339159
121,1108.9986468759187,1047.8570444593643
122,1108.875709724138,1047.8511274848124
123,1108.7527725723583,1047.845210510261
124,1108.629835420578,1047.8392935357085
125,1108.5068982687974,1047.8333765611574
126,1108.383961117017,1047.8274595866058
127,1108.2610239652367,1047.8215426120535
128,1108.1380868134563,1047.8156256375014
129,1108.015149661676,1047.809708662951
130,1107.8922125098961,1047.8037916883982
131,1107.7692753581157,1047.797874713846
132,1107.6463382063355,1047.791957739295
133,1107.5234010545553,1047.786040764743
134,1107.400463902775,1047.780123790191
135,1107.2775267509942,1047.774206815639
136,1107.154589599214,1047.7682898410876
137,1107.031652447434,1047.762372866536
138,1106.9087152956536,1047.756455891984
139,1106.7857781438736,1047.7505389174323
140,1106.6628409920932,1047.7446219428798
141,1106.5399038403127,1047.7387049683284
142,1106.4169666885332,1047.7327879937775
143,1106.2940295367525,1047.7268710192254
144,1106.1710923849723,1047.7209540446727
145,1106.0481552331912,1047.7150370701218
146,1105.9252180814115,1047.70912009557
147,1105.8022809296315,1047.7032031210176
148,1105.679343777851,1047.6972861464658
149,1105.5564066260708,1047.6913691719146
150,1105.43346947429,1047.6854521973632
151,1105.31053232251,1047.6795352228107
152,1105.1875951707298,1047.6736182482593
153,1105.0646580189493,1047.6677012737075
154,1104.9417208671691,1047.6617842991554
155,1104.818783715389,1047.655867324604
156,1104.6958465636085,1047.6499503500518
157,1104.572909411829,1047.6440333755
158,1104.4601068636896,1047.6383765869302
159,1104.3604962961876,1047.6330584764703
160,1104.260885728685,1047.6277403660117
161,1104.1612751611833,1047.6224222555531
162,1104.0616645936814,1047.617104145094
163,1103.9620540261794,1047.611786034635
164,1103.8624434586761,1047.6064679241758
165,1103.7628328911749,1047.6011498137177
166,1103.6632223236722,1047.5958317032575
167,1103.56361175617,1047.5905135927992
168,1103.4640011886677,1047.5851954823404
169,1103.3643906211657,1047.5798773718807
170,1103.2647800536638,1047.5745592614219
171,1103.1651694861614,1047.5692411509629
172,1103.0655589186586,1047.5639230405045
173,1102.9659483511568,1047.558604930045
174,1102.866337783655,1047.5532868195864
175,1102.766727216152,1047.5479687091272
176,1102.6671166486497,1047.542650598668
177,1102.5675060811484,1047.5373324882098
178,1102.4678955136458,1047.53201437775
179,1102.3682849461434,1047.526696267291
180,1102.268674378641,1047.5213781568323
181,1102.1690638111381,1047.5160600463732
182,1102.069453243637,1047.5107419359138
183,1101.969842676135,1047.5054238254554
184,1101.8702321086323,1047.5001057149964
185,1101.77062154113,1047.4947876045371
186,1101.6710109736277,1047.4894694940788
187,1101.571400406126,1047.4841513836193
188,1101.4717898386236,1047.4788332731603
189,1101.372179271121,1047.4735151627012
190,1101.2725687036188,1047.4681970522422
191,1101.172958136117,1047.462878941784
192,1101.073347568615,1047.4575608313248
193,1100.9737370011126,1047.4522427208653
194,1100.8741264336102,1047.4469246104063
195,1100.7745158661082,1047.4416064999475
196,1100.674905298606,1047.4362883894885
197,1100.5752947311043,1047.4309702790295
198,1100.4756841636013,1047.4256521685707
199,1100.3760735960996,1047.420334058111
200,1100.2764630285967,1047.4150159476528
201,1100.176852461095,1047.4096978371929
202,1100.0772418935924,1047.4043797267348
203,1099.9776313260911,1047.3990616162757
204,1099.8780207585878,1047.393743505817
205,1099.7784101910856,1047.388425395358
206,1099.6787996235832,1047.3831072848982
207,1099.5791890560815,1047.37778917444
208,1099.4795784885798,1047.3724710639801
209,1099.3799679210774,1047.3671529535213
210,1099.2803573535748,1047.3618348430637
211,1099.1956050400129,1047.3569202089845
212,1099.1257667578652,1047.3524105659264
213,1099.0559284757162,1047.3479009228686
214,1098.9860901935672,1047.3433912798102
215,1098.9162519114193,1047.338881636752
216,1098.846413629271,1047.334371993694
217,1098.7765753471224,1047.3298623506353
218,1098.7067370649738,1047.3253527075776
219,1098.6368987828255,1047.32084306452
220,1098.567060500677,1047.3163334214614
221,1098.497222218528,1047.311823778403
222,1098.4273839363798,1047.3073141353452
223,1098.357545654232,1047.3028044922876
224,1098.2877073720824,1047.298294849229
225,1098.2178690899343,1047.293785206171
226,1098.148030807786,1047.2892755631121
227,1098.0781925256374,1047.2847659200554
228,1098.0083542434895,1047.2802562769964
229,1097.93851596134,1047.2757466339385
230,1097.8686776791917,1047.2712369908804
231,1097.7988393970436,1047.2667273478219
232,1097.729001114895,1047.2622177047642
233,1097.659162832746,1047.2577080617054
234,1097.589324550597,1047.2531984186483
235,1097.519486268449,1047.24868877559
236,1097.449647986301,1047.2441791325307
237,1097.379809704152,1047.2396694894737
238,1097.3099714220039,1047.235159846415
239,1097.240133139855,1047.230650203357
240,1097.1702948577065,1047.2261405602992
241,1097.100456575558,1047.2216309172409
242,1097.0306182934098,1047.217121274183
243,1096.9607800112608,1047.2126116311244
244,1096.8909417291125,1047.2081019880663
245,1096.8211034469637,1047.2035923450085
246,1096.7512651648155,1047.1990827019501
247,1096.6814268826672,1047.1945730588918
248,1096.6115886005186,1047.1900634158346
249,1096.5417503183703,1047.1855537727758
250,1096.4719120362217,1047.1810441297182
251,1096.4020737540734,1047.17653448666
252,1096.3322354719248,1047.172024843601
253,1096.2623971897756,1047.1675152005437
254,1096.1925589076275,1047.1630055574853
255,1096.1227206254791,1047.1584959144277
256,1096.0528823433308,1047.1539862713694
257,1095.983044061183,1047.149476628311
258,1095.9132057790332,1047.1449669852527
259,1095.8433674968853,1047.1404573421948
260,1095.7735292147365,1047.1359476991372
261,1095.7036909325882,1047.1314380560789
262,1095.6338526504398,1047.1269284130196
263,1095.564014368292,1047.1224187699625
264,1095.494176086143,1047.1179091269041
265,1095.424337803994,1047.1133994838458
266,1095.354499521846,1047.1088898407877
267,1095.2846612396972,1047.1043801977296
268,1095.2148229575494,1047.0998705546715
269,1095.1449846753997,1047.0953609116139
270,1095.0751463932515,1047.0908512685544
271,1095.0053081111027,1047.0863416254977
272,1094.9354698289544,1047.0818319824396
273,1094.8656315468063,1047.0773223393812
274,1094.7957932646575,1047.0728126963236
275,1094.7259549825094,1047.0683030532646
276,1094.6561167003604,1047.0637934102067
277,1094.5862784182116,1047.0592837671484
278,1094.5164401360637,1047.05477412409
279,1094.446601853915,1047.0502644810322
280,1094.3767635717668,1047.045754837974
281,1094.3069252896175,1047.0412451949164
282,1094.2370870074703,1047.0367355518574
283,1094.1672487253213,1047.0322259088002
284,1094.097410443173,1047.0277162657414
285,1094.0275721610237,1047.0232066226833
286,1093.9577338788756,1047.0186969796252
287,1093.887895596727,1047.0141873365671
288,1093.8180573145787,1047.0096776935086
289,1093.7482190324304,1047.0051680504514
290,1093.678380750282,1047.0006584073926
291,1093.6085424681326,1046.996148764334
292,1093.5387041859854,1046.9916391212766
293,1093.4688659038363,1046.9871294782183
294,1093.3990276216878,1046.9826198351602
295,1093.3291893395387,1046.9781101921023
296,1093.2593510573909,1046.9736005490438
297,1093.1895127752423,1046.9690909059866
298,1093.1196744930935,1046.964581262928
299,1093.0498362109452,1046.96007161987
300,1092.979997928797,1046.955561976812
301,1092.9101596466485,1046.9510523337533
302,1092.8403213645,1046.946542690695
303,1092.7704830823511,1046.9420330476382
304,1092.700644800203,1046.9375234045797
305,1092.630806518054,1046.9330137615211
306,1092.5609682359059,1046.9285041184628
307,1092.4911299537573,1046.923994475405
308,1092.4212916716083,1046.9194848323468
309,1092.3514533894602,1046.9149751892887
310,1092.2816151073116,1046.9104655462309
311,1092.2117768251628,1046.905955903172
312,1092.1419385430147,1046.901446260114
313,1092.0721002608664,1046.8969366170568
314,1092.0022619787171,1046.8924269739985
315,1091.9324236965695,1046.8879173309394
316,1091.8625854144207,1046.8834076878813
317,1091.8033716760294,1046.8794954160378
318,1091.7504445056165,1046.8759366101726
319,1091.6975173352039,1046.8723778043066
320,1091.644590164791,1046.8688189984402
321,1091.5916629943786,1046.865260192575
322,1091.5387358239657,1046.8617013867095
323,1091.4858086535532,1046.858142580843
324,1091.4328814831408,1046.8545837749773
325,1091.379954312728,1046.8510249691117
326,1091.3270271423153,1046.8474661632467
327,1091.2740999719024,1046.8439073573802
328,1091.2211728014897,1046.8403485515146
329,1091.1682456310766,1046.8367897456487
330,1091.115318460664,1046.8332309397833
331,1091.0623912902513,1046.8296721339175
332,1091.0094641198389,1046.8261133280519
333,1090.9565369494255,1046.8225545221856
334,1090.9036097790135,1046.8189957163202
335,1090.8506826086013,1046.815436910454
336,1090.7977554381876,1046.811878104589
337,1090.744828267775,1046.8083192987224
338,1090.6919010973616,1046.804760492856
339,1090.638973926949,1046.8012016869907
340,1090.5860467565371,1046.797642881125
341,1090.5331195861247,1046.7940840752597
342,1090.4801924157114,1046.7905252693936
343,1090.4272652452985,1046.7869664635275
344,1090.3743380748856,1046.7834076576614
345,1090.3214109044734,1046.7798488517963
346,1090.26848373406,1046.7762900459306
347,1090.2155565636476,1046.7727312400646
348,1090.1626293932352,1046.7691724341987
349,1090.1097022228225,1046.765613628333
350,1090.0567750524092,1046.7620548224672
351,1090.0038478819965,1046.7584960166016
352,1089.9509207115839,1046.754937210736
353,1089.8979935411714,1046.7513784048704
354,1089.8450663707592,1046.7478195990045
355,1089.7921392003464,1046.7442607931384
356,1089.739212029933,1046.7407019872733
357,1089.6862848595204,1046.737143181407
358,1089.6333576891077,1046.7335843755418
359,1089.580430518695,1046.7300255696757
360,1089.5275033482822,1046.7264667638103
361,1089.4745761778695,1046.7229079579438
362,1089.4216490074568,1046.7193491520786
363,1089.3687218370444,1046.7157903462119
364,1089.3157946666313,1046.712231540347
365,1089.262867496219,1046.7086727344813
366,1089.2099403258064,1046.7051139286145
367,1089.1570131553933,1046.7015551227496
368,1089.10408598498,1046.6979963168837
369,1089.051158814567,1046.6944375110181
370,1088.998231644155,1046.690878705152
371,1088.9453044737422,1046.6873198992857
372,1088.8923773033293,1046.68376109342
373,1088.8394501329167,1046.6802022875545
374,1088.7865229625036,1046.6766434816893
375,1088.7335957920914,1046.6730846758242
376,1088.6806686216783,1046.6695258699579
377,1088.6277414512658,1046.6659670640913
378,1088.5748142808532,1046.6624082582257
379,1088.5218871104405,1046.6588494523598
380,1088.4689599400278,1046.6552906464944
381,1088.4160327696147,1046.6517318406293
382,1088.3631055992023,1046.6481730347632
383,1088.3101784287892,1046.6446142288964
384,1088.2572512583772,1046.6410554230313
385,1088.2043240879646,1046.637496617165
386,1088.1513969175517,1046.6339378112998
387,1088.098469747139,1046.630379005434
388,1088.045542576726,1046.6268201995676
389,1087.992615406313,1046.623261393702
390,1087.9396882359008,1046.6197025878366
391,1087.886761065488,1046.6161437819696
392,1087.8338338950753,1046.6125849761045
393,1087.7809067246626,1046.609026170239
394,1087.72797955425,1046.6054673643728
395,1087.675052383837,1046.6019085585076
396,1087.6221252134246,1046.598349752642
397,1087.5691980430117,1046.5947909467764
398,1087.5162708725982,1046.5912321409103
399,1087.463343702186,1046.5876733350449
400,1087.410416531773,1046.5841145291786
401,1087.3574893613604,1046.5805557233134
402,1087.3045621909482,1046.576996917447
403,1087.2516350205353,1046.5734381115813
404,1087.1987078501222,1046.569879305716
405,1087.1457806797098,1046.5663204998498
406,1087.092853509297,1046.5627616939846
407,1087.0399263388852,1046.5592028881183
408,1086.9869991684718,1046.5556440822527
409,1086.934071998059,1046.552085276387
410,1086.8811448276458,1046.5485264705217
411,1086.8282176572334,1046.544967664655
412,1086.7752904868205,1046.5414088587904
413,1086.7223633164083,1046.5378500529234
414,1086.6694361459956,1046.5342912470576
415,1086.6165089755825,1046.530732441192
416,1086.5635818051705,1046.5271736353266
417,1086.5106546347567,1046.5236148294603
418,1086.4577274643443,1046.520056023595
419,1086.4048002939312,1046.5164972177297
420,1086.3518731235188,1046.5129384118623
421,1086.298945953106,1046.5093796059975
422,1086.2460187826935,1046.5058208001321
423,1086.208243692207,1046.5020278182292
424,1086.175320507875,1046.4981598499112
425,1086.142397323543,1046.4942918815918
426,1086.1094741392114,1046.490423913274
427,1086.0765509548787,1046.4865559449554
428,1086.0436277705471,1046.4826879766367
429,1086.010704586215,1046.4788200083185
430,1085.9777814018823,1046.4749520399998
431,1085.9448582175505,1046.471084071682
432,1085.9119350332192,1046.4672161033639
433,1085.879011848886,1046.463348135045
434,1085.8460886645541,1046.459480166727
435,1085.8131654802214,1046.455612198409
436,1085.78024229589,1046.4517442300903
437,1085.747319111558,1046.4478762617716
438,1085.7143959272264,1046.4440082934536
439,1085.6814727428934,1046.4401403251345
440,1085.6485495585616,1046.436272356817
441,1085.6156263742296,1046.4324043884985
442,1085.582703189897,1046.4285364201794
443,1085.5497800055655,1046.4246684518623
444,1085.5168568212334,1046.4208004835434
445,1085.483933636901,1046.4169325152254
446,1085.4510104525687,1046.4130645469068
447,1085.4180872682373,1046.4091965785892
448,1085.385164083905,1046.4053286102692
449,1085.3522408995725,1046.4014606419526
450,1085.319317715241,1046.3975926736334
451,1085.2863945309086,1046.3937247053157
452,1085.2534713465768,1046.3898567369972
453,1085.2205481622443,1046.385988768679
454,1085.1876249779123,1046.3821208003603
455,1085.1547017935798,1046.3782528320428
456,1085.121778609248,1046.3743848637237
457,1085.088855424916,1046.370516895405
458,1085.0559322405832,1046.366648927087
459,1085.023009056252,1046.3627809587686
460,1084.9900858719195,1046.35891299045
461,1084.9571626875872,1046.3550450221321
462,1084.9242395032559,1046.351177053814
463,1084.8913163189225,1046.347309085496
464,1084.858393134591,1046.3434411171777
465,1084.8254699502593,1046.339573148859
466,1084.792546765927,1046.3357051805397
467,1084.7596235815945,1046.3318372122221
468,1084.7267003972634,1046.3279692439041
469,1084.6937772129306,1046.3241012755855
470,1084.6608540285984,1046.3202333072668
471,1084.627930844266,1046.3163653389488
472,1084.5950076599336,1046.31249737063
473,1084.5620844756022,1046.3086294023124
474,1084.52916129127,1046.3047614339935
475,1084.496238106938,1046.3008934656748
476,1084.4633149226058,1046.2970254973573
477,1084.4303917382733,1046.2931575290388
478,1084.3974685539415,1046.2892895607208
479,1084.36454536961,1046.2854215924017
480,1084.331622185277,1046.2815536240842
481,1084.2986990009458,1046.277685655765
482,1084.2657758166129,1046.2738176874473
483,1084.2328526322815,1046.2699497191288
484,1084.1999294479485,1046.2660817508104
485,1084.167006263616,1046.2622137824926
486,1084.1340830792851,1046.258345814174
487,1084.1011598949528,1046.2544778458555
488,1084.0682367106206,1046.250609877537
489,1084.035313526289,1046.2467419092193
490,1084.0023903419556,1046.2428739408997
491,1083.9694671576242,1046.2390059725826
492,1083.9365439732917,1046.2351380042637
493,1083.90362078896,1046.231270035946
494,1083.870697604628,1046.2274020676264
495,1083.8377744202955,1046.2235340993088
496,1083.804851235964,1046.2196661309906
497,1083.771928051632,1046.2157981626722
498,1083.7390048672992,1046.2119301943542
499,1083.7060816829671,1046.2080622260353
500,1083.6731584986348,1046.2041942577173
501,1083.6402353143037,1046.2003262893988
502,1083.607312129971,1046.196458321081
503,1083.574388945639,1046.1925903527629
504,1083.5414657613067,1046.1887223844437
505,1083.5085425769744,1046.184854416126
506,1083.4756193926428,1046.1809864478073
507,1083.4426962083105,1046.177118479489
508,1083.4097730239782,1046.1732505111702
509,1083.376849839646,1046.1693825428524
510,1083.3439266553148,1046.1655145745344
511,1083.3110034709823,1046.1616466062155
512,1083.2780802866494,1046.1577786378978
513,1083.245157102318,1046.1539106695789
514,1083.2122339179857,1046.1500427012606
515,1083.1793107336534,1046.1461747329429
516,1083.1463875493212,1046.142306764624
517,1083.1134643649893,1046.1384387963058
518,1083.0805411806575,1046.134570827988
519,1083.0476179963255,1046.1307028596696
520,1083.014694811993,1046.1268348913509
521,1082.9817716276605,1046.122966923032
522,1082.9488484433286,1046.1190989547138
523,1082.9159252589964,1046.1152309863958
524,1082.883002074665,1046.111363018077
525,1082.850078890333,1046.1074950497596
526,1082.8171557060007,1046.1036270814407
527,1082.784232521668,1046.0997591131227
528,1082.7513093373361,1046.095891144805
529,1082.7183861530036,1046.092023176486
530,1082.6854629686723,1046.0881552081673
531,1082.6525397843398,1046.084287239849
532,1082.6196166000075,1046.080419271531
533,1082.5866934156754,1046.0765513032125
534,1082.5537702313436,1046.072683334893
535,1082.5208470470113,1046.0688153665753
536,1082.4879238626795,1046.064947398257
537,1082.4550006783472,1046.0610794299391
538,1082.422077494015,1046.0572114616211
539,1082.3891543096831,1046.0533434933025
540,1082.356231125351,1046.0494755249838
541,1082.3233079410188,1046.0456075566653
542,1082.2903847566863,1046.0417395883471
543,1082.257461572355,1046.0378716200287
544,1082.2245383880227,1046.0340036517107
545,1082.19161520369,1046.0301356833925
546,1082.158692019358,1046.026267715074
547,1082.1257688350263,1046.0223997467556
548,1082.092845650694,1046.0185317784378
549,1082.059922466362,1046.0146638101196
550,1082.0269992820308,1046.0107958418
551,1081.9940760976976,1046.006927873482
552,1081.9611529133658,1046.003059905164
553,1081.9282297290335,1045.9991919368451
554,1081.8953065447013,1045.9953239685278
555,1081.8623833603692,1045.9914560002098
556,1081.8294601760374,1045.987588031891
557,1081.7965369917051,1045.983720063573
558,1081.763613807373,1045.9798520952543
559,1081.7306906230406,1045.9759841269354
560,1081.6977674387092,1045.9721161586178
561,1081.6648442543767,1045.968248190299
562,1081.6319210700447,1045.9643802219807
563,1081.5989978857128,1045.960512253663
564,1081.56607470138,1045.9566442853443
565,1081.5331515170483,1045.9527763170265
566,1081.5002283327158,1045.9489083487078
567,1081.467305148384,1045.945040380389
568,1081.4343819640517,1045.9411724120705
569,1081.4014587797199,1045.9373044437525
570,1081.3685355953878,1045.933436475434
571,1081.3356124110553,1045.929568507116
572,1081.3026892267226,1045.9257005387983
573,1081.269766042392,1045.921832570479
574,1081.236842858059,1045.9179646021616
575,1081.2039196737273,1045.914096633843
576,1081.1709964893944,1045.9102286655238
577,1081.1380733050635,1045.9063606972056
578,1081.1051501207312,1045.9024927288872
579,1081.0722269363991,1045.898624760569
580,1081.0393037520669,1045.894756792251
581,1081.006380567735,1045.890888823933
582,1080.9734573834025,1045.887020855614
583,1080.9405341990705,1045.8831528872963
584,1080.907611014738,1045.8792849189772
585,1080.8746878304057,1045.8754169506594
586,1080.841764646074,1045.871548982341
587,1080.8088414617416,1045.867681014023
588,1080.7759182774096,1045.8638130457045
589,1080.7429950930775,1045.8599450773859
590,1080.7100719087455,1045.8560771090677
591,1080.6771487244137,1045.8522091407488
592,1080.6442255400814,1045.8483411724314
593,1080.611302355749,1045.844473204113
594,1080.578379171417,1045.8406052357946
595,1080.5454559870852,1045.8367372674759
596,1080.5125328027525,1045.832869299157
597,1080.4796096184207,1045.829001330839
598,1080.446686434089,1045.825133362521
599,1080.4137632497568,1045.8212653942028
600,1080.3808400654243,1045.8173974258843
601,1080.3479168810923,1045.8135294575666
602,1080.3149936967598,1045.8096614892481
603,1080.2820705124282,1045.8057935209292
604,1080.2491473280961,1045.8019255526103
605,1080.216224143763,1045.7980575842926
606,1080.1833009594316,1045.7941896159746
607,1080.1503777750997,1045.7903216476564
608,1080.1174545907675,1045.7864536793381
609,1080.0845314064356,1045.78258571102
610,1080.0516082221038,1045.7787177427015
611,1080.0186850377718,1045.774849774383
612,1079.9857618534393,1045.7709818060648
613,1079.9528386691072,1045.767113837745
614,1079.9199154847745,1045.7632458694277
615,1079.8869923004434,1045.7593779011097
616,1079.8540691161108,1045.7555099327903
617,1079.8211459317788,1045.7516419644728
618,1079.7882227474468,1045.7477739961548
619,1079.7552995631142,1045.7439060278361
620,1079.7223763787824,1045.740038059518
621,1079.6894531944506,1045.7361700911995
622,1079.6565300101186,1045.7323021228808
623,1079.623606825786,1045.7284341545635
624,1079.590683641454,1045.7245661862444
625,1079.5577604571229,1045.7206982179264
626,1079.5248372727897,1045.7168302496082
627,1079.4919140884572,1045.712962281289
628,1079.4589909041258,1045.7090943129708
629,1079.4260677197929,1045.7052263446526
630,1079.393144535461,1045.7013583763342
631,1079.3602213511292,1045.6974904080168
632,1079.3272981667974,1045.6936224396989
633,1079.2943749824651,1045.6897544713793
634,1079.2615998993333,1045.685892605869
635,1079.238024885441,1045.6824098476843
636,1079.2144498715497,1045.6789270894994
637,1079.1908748576575,1045.675444331316
638,1079.1672998437657,1045.671961573131
639,1079.1437248298735,1045.6684788149475
640,1079.1201498159817,1045.6649960567638
641,1079.0965748020894,1045.661513298579
642,1079.0729997881979,1045.658030540394
643,1079.0494247743059,1045.65454778221
644,1079.025849760414,1045.6510650240257
645,1079.0022747465223,1045.6475822658413
646,1078.97869973263,1045.6440995076578
647,1078.9551247187378,1045.6406167494727
648,1078.9315497048456,1045.637133991289
649,1078.9079746909547,1045.6336512331045
650,1078.8843996770622,1045.6301684749199
651,1078.8608246631707,1045.6266857167352
652,1078.8372496492786,1045.6232029585517
653,1078.8136746353869,1045.6197202003666
654,1078.7900996214946,1045.6162374421824
655,1078.7665246076026,1045.6127546839991
656,1078.7429495937113,1045.6092719258143
657,1078.7193745798195,1045.6057891676298
658,1078.695799565927,1045.6023064094454
659,1078.6722245520352,1045.5988236512608
660,1078.6486495381432,1045.5953408930766
661,1078.6250745242514,1045.5918581348926
